No;Nama;Rating;Review;Link
1;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;5;harga sangat terjangkau, kualitas super bagus. tombol berfungsi dengan mantapp.. pengiriman cepatt. pertahankan????;https://shopee.co.id/ROBOT-Portable-Mini-Wired-Keyboard-RK10-Ultra-Thin-Garansi-Resmi-1-Tahun-i.262387176.13013963834?sp_atk=f69ef8d8-9da3-4d6b-9180-1d462481bdb7&xptdk=f69ef8d8-9da3-4d6b-9180-1d462481bdb7
2;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;5;Seller responsif. Pengemasan aman????????????. Pengiriman cukup cepat. Produk ori. Kualitas produk baik????????????. Terima kasih. Semoga usahanya semakin lancar dan berkah. Aamiin??????;
3;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;5;keyboard nya bagus, ukuran nya jg sedengan gk terlalu kecil atau besar. alhamdulillah berfungsi baik;
4;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;5;pas banget ga panjang juga dan enak pastinya dbwa kmna mna tpi aga berat juga tpi bagus banget??;
5;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;4;kecepetan pengirimannya oke, pengemasannya oke karena dilapisi bubble wrap yang tebal jadi produknya terjamin aman. keyboardnya dapat berfungsi dengan baik, harganya terbilang sesuai, terima kasih ????????????;
6;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;4;Barangnya safety bgt, pengemasan baik, pengiriman jg cpt bgt. Udah dicoba dan alhamdulillah berfungsi dgn baik, semoga awet. Makasiii seller?;
7;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;4;pengirimanya cpt tidak ada lecet. berfungsi semoga awet;
8;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;4;Mantap, walaupun tombol nya sedikit goyang tapi masih nyaman dipakai;
9;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;3;Berfungsi dengan baik gak tau sih soal nya baru hari pertama dari barang sampai gak tau bertahan berapa lama yaa;
10;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;3;Memory oke, packing aman Overall oke semuanya, cuma keyboardnya saja yg tidak sesuai deskripsi Yg dibilang silent, ternyata berisik banget walaupun baru disentuh, teedengar banget megang keyboard, kalau yg silent walaupun disentuh ga kedengeran sama sekali. Thank you;
11;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;3;Pengemasan baik, pengiriman baik. Tapi agak kecewa karena ada beberapa tombol yang tidak berfungsi dg baik;
12;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;3;Barang bekerja tetapi ada sedikit kerusakan di bagian kabel;
13;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;2;Tombol T nya mendem ke dalem setiap di klik, kecewa baru beli datang kaya gini.;
14;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;2;Banyak huruf yang tidak sesuai, dan eror ketika diklik;
15;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;2;Cacat pada tombol;
16;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;2;Isi hurufnya double double jadi pada ngaco pas ngetik.;
17;ROBOT Portable Mini Wired Keyboard RK10 Ultra-Thin Garansi Resmi 1 Tahun;1;"Sangat kecewa Peking barangnya tipis, barangnya rusak tidak berfungsi, sia"" belanja di toko ini";
